Category,No. of reviews,Rating,Time elapsed after the last update,Size,"No. of Installations
(in '00000s)",Required Android Version,content_rating,Success
MUSIC_AND_AUDIO,71226,4.4,3 months,between 10-20,50,above 4,Teen,successful
MUSIC_AND_AUDIO,2412,4.3,more than 6 months,less than 10,10,above 5,Everyone,successful
MUSIC_AND_AUDIO,65,3.8,more than 6 months,less than 10,1,above 5,Everyone,Not Successful
MUSIC_AND_AUDIO,6185,4.1,more than 6 months,between 20-30,10,above 5,Everyone,Not Successful
MUSIC_AND_AUDIO,76281,2.7,6 months,less than 10,50,above 4,Teen,Not Successful
MUSIC_AND_AUDIO,250991,4.1,3 months,less than 10,500,above 5,Everyone,Not Successful
VIDEO_PLAYERS,3486,4,3 months,between 10-20,5,above 4,Everyone,Not Successful
NEWS_AND_MAGAZINES,64206,3.3,6 months,less than 10,10,above 5,Teen,Not Successful
BOOKS_AND_REFERENCE,107117,3.8,3 months,between 30-40,100,above 4,Everyone,Not Successful
BOOKS_AND_REFERENCE,1565739,4.2,3 months,between 10-20,10000,above 4,Teen,Not Successful
BOOKS_AND_REFERENCE,917743,4.1,3 months,between 40-50,1000,above 4,Teen,Not Successful
PHOTOGRAPHY,1310164,4.6,3 months,above 50,1000,above 4,Everyone,successful
PHOTOGRAPHY,8939147,4.3,3 months,between 30-40,5000,above 4,Teen,successful
BEAUTY,114845,4.2,more than 6 months,above 50,100,above 4,Everyone,Not Successful
PHOTOGRAPHY,4252667,4.5,1 month,above 50,1000,above 4,Everyone,successful
PHOTOGRAPHY,368473,4.7,3 months,between 10-20,100,above 4,Everyone,successful
PHOTOGRAPHY,94551,4.1,1 month,above 50,50,above 4,Everyone,Not Successful
PHOTOGRAPHY,138459,4.4,3 months,above 50,50,above 6,Everyone,successful
ENTERTAINMENT,10034,4.2,more than 6 months,between 20-30,5,above 6,Everyone,Not Successful
PHOTOGRAPHY,1149,4,3 months,between 20-30,1,above 4,Everyone,Not Successful
PHOTOGRAPHY,19594,3.2,more than 6 months,less than 10,10,above 4,Everyone,Not Successful
PHOTOGRAPHY,35647,4.3,more than 6 months,between 10-20,50,above 4,Everyone,successful
PHOTOGRAPHY,7586,4.4,more than 6 months,less than 10,10,above 4,Everyone,successful
PHOTOGRAPHY,578,4.3,more than 6 months,less than 10,1,above 6,Everyone,successful
PHOTOGRAPHY,24089,4.1,more than 6 months,less than 10,10,above 4,Everyone,Not Successful
PHOTOGRAPHY,72752,4,3 months,between 20-30,50,above 4,Everyone,Not Successful
PHOTOGRAPHY,168072,3.7,more than 6 months,less than 10,100,above 4,Everyone,Not Successful
PHOTOGRAPHY,204906,4.6,3 months,between 20-30,100,above 5,Everyone,successful
PHOTOGRAPHY,852197,4.5,1 month,less than 10,500,above 4,Teen,successful
PHOTOGRAPHY,16765,4.2,6 months,above 50,10,above 5,Everyone,Not Successful
PHOTOGRAPHY,1514558,4.6,1 month,between 20-30,500,above 4,Everyone,successful
PHOTOGRAPHY,870169,3.7,3 months,between 20-30,500,above 4,Everyone,Not Successful
PHOTOGRAPHY,4252662,4.5,1 month,above 50,1000,above 4,Everyone,successful
PHOTOGRAPHY,4412822,4.8,1 month,between 20-30,1000,above 4,Teen,successful
EDUCATION,175,3.5,1 month,between 10-20,1,above 4,Everyone,Not Successful
EDUCATION,226856,4.5,3 months,less than 10,100,above 4,Everyone,successful
EDUCATION,25552,3.8,3 months,above 50,100,above 4,Teen,Not Successful
EDUCATION,174,4.3,6 months,less than 10,0.5,above 6,Everyone,Not Successful
EDUCATION,67951,4.1,3 months,between 40-50,50,above 4,Everyone,Not Successful
EDUCATION,27916,4.1,1 month,less than 10,5,above 4,Everyone,Not Successful
EDUCATION,480,3.9,3 months,less than 10,0.5,above 4,Everyone,Not Successful
EDUCATION,719,3.5,3 months,less than 10,0.1,above 4,Everyone,Not Successful
EDUCATION,216,3.5,1 month,between 10-20,1,above 4,Everyone,Not Successful
EDUCATION,8510219,4.7,1 month,less than 10,1000,above 4,Everyone,successful
EDUCATION,3021,3.9,more than 6 months,less than 10,1,above 6,Everyone,Not Successful
EDUCATION,54248,4.7,3 months,between 10-20,10,above 4,Everyone ,successful
EDUCATION,28392,4.1,1 month,above 50,50,above 4,Everyone,Not Successful
EDUCATION,11036,4.5,3 months,less than 10,5,above 4,Everyone,successful
EDUCATION,73148,4.2,1 month,above 50,50,above 4,Everyone,Not Successful
EDUCATION,120731,4.3,3 months,between 10-20,100,above 5,Everyone,successful
EDUCATION,116226,4.4,more than 6 months,less than 10,10,above 4,Everyone,successful
EDUCATION,39066,4.6,1 month,less than 10,10,above 6,Everyone,successful
EDUCATION,156,4,3 months,less than 10,0.1,above 4,Everyone,Not Successful
EDUCATION,102,4.3,3 months,between 10-20,0.5,above 4,Everyone,Not Successful
EDUCATION,3465,4.1,1 month,between 10-20,10,above 4,Everyone,Not Successful
EDUCATION,4879,3.6,1 month,between 10-20,1,above 4,Everyone,Not Successful
EDUCATION,14253,4.5,1 month,less than 10,10,above 4,Everyone,successful
EDUCATION,1390069,4.7,1 month,between 20-30,500,above 4,Everyone,successful
EDUCATION,1061,4.1,6 months,between 10-20,1,above 6,Everyone,Not Successful
EDUCATION,67592,4.5,more than 6 months,less than 10,50,above 4,Everyone,successful
EDUCATION,14476,4.2,1 month,between 20-30,10,above 4,Everyone,Not Successful
EDUCATION,22736,4.6,more than 6 months,between 20-30,50,above 4,Everyone,successful
EDUCATION,109,4.2,6 months,between 10-20,0.5,above 4,Everyone,Not Successful
EDUCATION,1069,4.3,6 months,between 10-20,1,above 4,Everyone,successful
EDUCATION,11209,3.6,6 months,between 10-20,5,above 4,Everyone,Not Successful
EDUCATION,453,3.6,6 months,less than 10,0.1,above 4,Everyone,Not Successful
EDUCATION,423,4.2,1 month,between 10-20,1,above 4,Teen,Not Successful
EDUCATION,24902,4.5,1 month,between 10-20,5,above 4,Everyone,successful
EDUCATION,19657,4,1 month,between 10-20,10,above 4,Everyone,Not Successful
EDUCATION,4775,4.4,1 month,between 30-40,10,above 4,Everyone,successful
EDUCATION,1600,4,3 months,less than 10,10,above 5,Everyone,Not Successful
EDUCATION,7300,4.1,1 month,between 10-20,10,above 4,Everyone,Not Successful
EDUCATION,5219,4.7,6 months,between 20-30,1,above 5,Everyone,successful
EDUCATION,161,4.5,1 month,between 10-20,0.1,above 5,Everyone,Not Successful
EDUCATION,14382,4.5,1 month,between 10-20,10,above 4,Everyone,successful
EDUCATION,35741,4.8,1 month,between 20-30,10,above 4,Mature ,successful
EDUCATION,59,2.8,1 month,between 30-40,0.1,above 4,Everyone,Not Successful
EDUCATION,1202,4.1,3 months,less than 10,1,above 5,Everyone ,Not Successful
EDUCATION,59800,4.8,3 months,between 10-20,10,above 5,Everyone,successful
EDUCATION,410340,4.4,1 month,above 50,100,above 5,Everyone,successful
EDUCATION,246900,4.4,1 month,above 50,100,above 5,Everyone,successful
EDUCATION,18798,4.1,1 month,between 20-30,10,above 5,Everyone,Not Successful
EDUCATION,25886,4.5,1 month,between 10-20,10,above 5,Everyone,successful
FOOD_AND_DRINK,732,3.9,1 month,between 10-20,1,above 4,Everyone,Not Successful
FOOD_AND_DRINK,0,3.9,1 month,between 10-20,0.0005,above 5,Everyone,Not Successful
FOOD_AND_DRINK,9249,4.7,1 month,between 10-20,10,above 6,Everyone,successful
FOOD_AND_DRINK,1089,2.7,3 months,less than 10,0.5,above 6,Everyone,Not Successful
FOOD_AND_DRINK,10,3.8,1 month,between 30-40,0.005,above 4,Teen,Not Successful
FOOD_AND_DRINK,1375,3.2,1 month,less than 10,1,above 4,Everyone,Not Successful
FOOD_AND_DRINK,25255,4.1,1 month,between 10-20,10,above 4,Everyone,Not Successful
FOOD_AND_DRINK,728,3.5,1 month,between 10-20,0.1,above 4,Everyone,Not Successful
FOOD_AND_DRINK,50,4.6,more than 6 months,less than 10,0.1,above 4,Everyone,Not Successful
FOOD_AND_DRINK,112771,4.1,1 month,between 20-30,50,above 4,Everyone,Not Successful
FOOD_AND_DRINK,0,3.5,1 month,between 10-20,0.001,above 4,Everyone,Not Successful
FOOD_AND_DRINK,5446,4.1,1 month,less than 10,1,above 5,Everyone,Not Successful
FOOD_AND_DRINK,2630,4.7,3 months,less than 10,1,above 5,Everyone,successful
FOOD_AND_DRINK,37,5,1 month,less than 10,0.001,above 6,Everyone,Not Successful
FOOD_AND_DRINK,120,4.3,3 months,between 10-20,0.01,above 4,Everyone,Not Successful
FOOD_AND_DRINK,0,3.9,6 months,less than 10,0.001,above 4,Everyone,Not Successful
FOOD_AND_DRINK,159,3.5,1 month,less than 10,0.1,above 4,Everyone,Not Successful
FOOD_AND_DRINK,8,4.6,3 months,between 10-20,0.005,above 4,Teen,Not Successful
FOOD_AND_DRINK,196,3,3 months,less than 10,1,above 5,Everyone,Not Successful
FOOD_AND_DRINK,27,3.6,3 months,less than 10,0.01,above 5,Everyone,Not Successful
FOOD_AND_DRINK,561,4.1,3 months,between 10-20,1,above 5,Everyone,Not Successful
FOOD_AND_DRINK,472,4.8,3 months,between 10-20,0.1,above 4,Everyone,Not Successful
FOOD_AND_DRINK,23,4.8,3 months,less than 10,0.005,above 5,Everyone,Not Successful
FOOD_AND_DRINK,3311,3.9,1 month,less than 10,1,above 4,Everyone,Not Successful
FOOD_AND_DRINK,176220,3.5,3 months,between 30-40,100,above 5,Everyone,Not Successful
FOOD_AND_DRINK,9,4.9,6 months,between 10-20,0.005,above 4,Everyone,Not Successful
FOOD_AND_DRINK,9,5,1 month,less than 10,0.001,above 5,Everyone,Not Successful
FOOD_AND_DRINK,7,5,1 month,between 10-20,0.001,above 4,Everyone,Not Successful
FOOD_AND_DRINK,6,5,1 month,between 10-20,0.01,above 4,Everyone,Not Successful
FOOD_AND_DRINK,27,4,more than 6 months,between 10-20,0.1,above 4,Everyone,Not Successful
FOOD_AND_DRINK,0,4,1 month,between 10-20,0.001,above 4,Everyone,Not Successful
FOOD_AND_DRINK,7,5,1 month,less than 10,0.0001,above 4,Everyone,Not Successful
FOOD_AND_DRINK,5553,4.2,3 months,between 10-20,5,above 5,Everyone,Not Successful
FOOD_AND_DRINK,315,3.6,1 month,between 10-20,0.5,above 4,Teen,Not Successful
FOOD_AND_DRINK,2294,3.5,more than 6 months,less than 10,1,above 4,Everyone,Not Successful
FOOD_AND_DRINK,1864,3.6,3 months,less than 10,0.5,above 4,Everyone,Not Successful
FOOD_AND_DRINK,50,4.8,3 months,less than 10,0.01,above 5,Everyone,Not Successful
FOOD_AND_DRINK,68405,4.5,1 month,between 10-20,10,above 5,Everyone,successful
FOOD_AND_DRINK,13,4,3 months,less than 10,0.01,above 6,Everyone,Not Successful
FOOD_AND_DRINK,80809,4.7,3 months,between 10-20,50,above 5,Everyone,successful
FOOD_AND_DRINK,39,3.3,more than 6 months,less than 10,0.01,above 4,Everyone,Not Successful
FOOD_AND_DRINK,2007462,4.1,1 month,between 30-40,1000,above 5,Everyone,Not Successful
FOOD_AND_DRINK,13,3.9,1 month,between 30-40,0.01,above 4,Everyone,Not Successful
FOOD_AND_DRINK,6,4,3 months,less than 10,0.001,above 4,Everyone,Not Successful
FOOD_AND_DRINK,16,5,1 month,less than 10,0.001,above 5,Everyone,Not Successful
FOOD_AND_DRINK,754,4.2,3 months,between 10-20,0.1,above 5,Everyone,Not Successful
FOOD_AND_DRINK,16,3.2,6 months,less than 10,0.05,above 4,Mature ,Not Successful
FOOD_AND_DRINK,540,4.3,more than 6 months,less than 10,0.5,above 4,Everyone,Not Successful
FOOD_AND_DRINK,5503,4.5,1 month,between 20-30,5,above 4,Everyone,successful
FOOD_AND_DRINK,6515,4.5,more than 6 months,between 10-20,5,above 6,Everyone,successful
GAME_RACING,5796,4.7,1 month,above 50,1,above 4,Everyone,successful
GAME_WORD,20,4.8,1 month,above 50,0.01,above 4,Everyone,Not Successful
GAME_SPORTS,458175,4.1,6 months,above 50,500,above 4,Everyone,Not Successful
GAME_ACTION,4476,4.3,1 month,between 40-50,10,above 4,Teen,successful
GAME_SPORTS,37682,4.7,1 month,between 40-50,10,above 4,Everyone ,successful
GAME_RACING,17068,3.9,3 months,above 50,100,above 4,Everyone,Not Successful
GAME_RACING,5617,4,1 month,between 40-50,10,above 4,Everyone,Not Successful
GAME_ACTION,118725,4.1,1 month,above 50,100,above 4,Everyone,Not Successful
GAME_WORD,10464,4.5,1 month,less than 10,10,above 6,Teen,successful
GAME_RACING,2816155,4.2,1 month,above 50,1000,above 4,Everyone,Not Successful
GAME_ACTION,16264,3.4,3 months,between 40-50,10,above 5,Mature ,Not Successful
GAME_STRATEGY,125,3.5,more than 6 months,above 50,0.1,above 4,Teen,Not Successful
GAME_STRATEGY,820552,4.6,1 month,above 50,100,above 4,Everyone ,successful
GAME_STRATEGY,165899,4.4,more than 6 months,above 50,50,above 4,Everyone,successful
GAME_WORD,211981,4,1 month,above 50,100,above 5,Everyone,Not Successful
GAME_STRATEGY,111,3.8,1 month,between 40-50,1,above 4,Everyone,Not Successful
GAME_ACTION,361457,4.4,1 month,between 30-40,100,above 4,Teen,successful
GAME_SPORTS,2031,4.3,more than 6 months,between 40-50,5,above 4,Everyone,successful
